camp_title,camp_site,addr,latlong,location,style,tags,url
苗栗南庄_河岸星空露營地,河岸星空露營地,苗栗縣南庄鄉南江村14鄰小東河8-1號,"N24.580888,E120.989781",中區,親子同樂,"吹風機 水池 沙坑 老街",https://www.facebook.com/riverstar.camp/
苗栗南庄_清景農場,清景農場,苗栗縣南庄鄉蓬萊村2鄰紅毛館30號,"N24.557921,E120.975923",中區,親子同樂,"雨棚 游泳池 泳池 水池 小溪 老街 蝦 遊客",http://camp.many30.com/
苗栗南庄_田美虹橋露營區,"田美虹橋露營區 (田美虹橋山莊)","苗栗縣南庄鄉員林獅頭山道23號 (田美大橋旁)","N24.633784,E121.010170",中區,親子同樂,"雨棚 小溪 沙坑 風景區 老街 景觀",https://www.facebook.com/TianMeiHongQiao
苗栗南庄_百香自然農場,百香自然農場,苗栗縣南庄鄉南江村14鄰小東河23號,"N24.573750,E120.996972",中區,親子同樂,泳池,http://wellhead.8898.tw/
苗栗南庄_種荳人家幸福農場,種荳人家幸福農場,苗栗縣南庄鄉獅山村田美22-5號,"N24.627334,E121.011626",中區,吃喝玩樂,蝦,http://farm-540.business.site/
苗栗南庄_翔晶南庄麒麟山露營區,"翔晶南庄麒麟山露營區 (佳拉窯休閒農場)",苗栗縣南庄鄉南江村小東河11號,"N24.578354,E120.993625",中區,親子同樂,"步道 螢火蟲 昆蟲 老街 不高",https://campingfarm.ego.tw/
苗栗南庄_萱草森林鄉村民宿,"萱草森林鄉村民宿 (綠竹山莊) (綠色山莊)",苗栗縣南庄鄉蓬萊村9鄰四十二份8-1號,"N24.534397,E120.962700",中區,觀賞美景,"飲水機 水池 小溪 步道 老街 遊客 溪流 大景 銀河",http://frs.tw/
苗栗南庄_逍遙居山庄,逍遙居山庄,苗栗縣南庄鄉獅山村150-16號,"N24.628028,E121.016556",中區,親子同樂,"小溪 昆蟲 美景 山景",http://play.many30.com/
苗栗南庄_金成露營渡假山莊,金成露營渡假山莊,苗栗縣南庄鄉東村2鄰東江26號,"N24.598722,E121.014583",中區,親子同樂,"水池 螢火蟲 桐花",http://www.chin-chen.com/
苗栗南庄_青山好水露營區,"青山好水露營區 (長堤庭園咖啡)",苗栗縣南庄鄉南江村里金館8鄰25號,"N24.590472,E120.997917",中區,觀賞美景,"溜滑梯 水池 沙坑 螢火蟲 老街 釣魚 櫻花 桐花 溪流 景觀 美景 山景",https://www.facebook.com/sue823612/
苗栗南庄_青杉嶴,"青杉嶴 (Ao Cafe & BnB) (蘿菈農場)",苗栗縣南庄鄉東河村21鄰石壁22號,"N24.559056,E121.039694",中區,觀賞美景,"吹風機 老街 遊客 櫻花 楓葉 美景",http://aobnbcafe.blogspot.tw/
苗栗南庄_青溪渡假山莊,青溪渡假山莊,苗栗縣南庄鄉南江村14鄰小東河21號,"N24.575389,E120.995833",中區,親子同樂,"游泳池 泳池 遊客",http://www.river21.tw/
苗栗南庄_高山青露營區,"高山青露營區 (高山青餐廳)",苗栗縣南庄鄉蓬萊村14鄰30號,"N24.522139,E120.975917",中區,觀賞美景,"水池 小溪 老街 遊客 櫻花 美景 大景 山景",http://www.saone.com.tw/
"苗栗南庄_鹿場 850 庭園","鹿場 850 庭園",苗栗縣南庄鄉東河村24鄰鹿場13-10號,"N24.54220,E121.02790",中區,觀賞美景,"步道 老街 櫻花",https://www.facebook.com/Luchang850/
苗栗大湖_MaLa！棒露營區,"MaLa！棒露營區 (瑪菈棒露營區)",苗栗縣大湖鄉東興村上湖141-36號,"N24.372021,E120.890837",中區,親子同樂,"吹風機 雨棚 景觀",http://malaboom3.pixnet.net/blog
"苗栗大湖_Mele Hula 音樂之舞藝術露營區","Mele Hula 音樂之舞藝術露營區",苗栗縣大湖鄉新開村網形16-10號,"N24.351275,E120.814858",中區,親子同樂,"吹風機 雨棚 步道 玩具 雲海 美景 山景",https://www.facebook.com/MeleHulacamping/
苗栗大湖_夢之谷露營區,夢之谷露營區,苗栗縣大湖鄉東興村上湖,"N24.370634,E120.902951",中區,觀賞美景,"雨棚 水池 沙坑 步道 櫻花 雲海",https://www.dreamcamping.com.tw/
苗栗大湖_天藍露營區,天藍露營區,苗栗縣大湖鄉武榮村4鄰武榮23-10號,"N24.373739,E120.862144",中區,親子同樂,"飲水機 吹風機 雨棚 溜滑梯 水池 沙坑 步道 螢火蟲",https://www.facebook.com/SkyBlueCampingArea/
苗栗大湖_微笑山丘,微笑山丘,苗栗縣大湖鄉義和村和興22-5號,"N24.395556,E120.861389",中區,親子同樂,"飲水機 吹風機 雨棚 溜滑梯 水池 步道 玩具 螢火蟲 雲海 景觀 銀河",https://www.smilecamping.com.tw/
苗栗大湖_微笑山妍,微笑山妍,苗栗縣大湖鄉細道邦道23號旁,"N24.427627,E120.891952",中區,親子同樂,"飲水機 吹風機 雨棚 水池 小溪 步道 螢火蟲 老街 低海拔 桐花 溪流 大景 銀河",https://www.beautifulcamping.com.tw/
苗栗大湖_東和露營區,東和露營區,苗栗縣大湖鄉東和產業道路,"N24.385379,E120.894348",中區,親子同樂,"飲水機 吹風機 水池",https://www.facebook.com/TungHoCamp/
